"filename", "language", "JavaScript", "PHP", "XML", "CSS", "SCSS", "HTML", "comment", "blank", "total"
"c:\xampp\htdocs\localTheatre\scss\bootstrap\scss\_tooltip.scss", "SCSS", 0, 0, 0, 0, 93, 0, 5, 18, 116
"c:\xampp\htdocs\localTheatre\scss\bootstrap\scss\_transitions.scss", "SCSS", 0, 0, 0, 0, 17, 0, 0, 4, 21
"c:\xampp\htdocs\localTheatre\scss\bootstrap\scss\_type.scss", "SCSS", 0, 0, 0, 0, 82, 0, 20, 24, 126
"c:\xampp\htdocs\localTheatre\scss\bootstrap\scss\_utilities.scss", "SCSS", 0, 0, 0, 0, 18, 0, 0, 1, 19
"c:\xampp\htdocs\localTheatre\scss\bootstrap\scss\_variables.scss", "SCSS", 0, 0, 0, 0, 776, 0, 95, 272, 1143
"c:\xampp\htdocs\localTheatre\scss\bootstrap\scss\bootstrap-grid.css", "CSS", 0, 0, 0, 3295, 0, 0, 7, 206, 3508
"c:\xampp\htdocs\localTheatre\scss\bootstrap\scss\bootstrap-grid.scss", "SCSS", 0, 0, 0, 0, 18, 0, 6, 6, 30
"c:\xampp\htdocs\localTheatre\scss\bootstrap\scss\bootstrap-reboot.css", "CSS", 0, 0, 0, 261, 0, 0, 8, 55, 324
"c:\xampp\htdocs\localTheatre\scss\bootstrap\scss\bootstrap-reboot.scss", "SCSS", 0, 0, 0, 0, 4, 0, 7, 2, 13
"c:\xampp\htdocs\localTheatre\scss\bootstrap\scss\bootstrap.css", "CSS", 0, 0, 0, 8447, 0, 0, 7, 1197, 9651
"c:\xampp\htdocs\localTheatre\scss\bootstrap\scss\bootstrap.scss", "SCSS", 0, 0, 0, 0, 37, 0, 6, 2, 45
"c:\xampp\htdocs\localTheatre\scss\bootstrap\scss\mixins\_alert.scss", "SCSS", 0, 0, 0, 0, 11, 0, 0, 3, 14
"c:\xampp\htdocs\localTheatre\scss\bootstrap\scss\mixins\_background-variant.scss", "SCSS", 0, 0, 0, 0, 18, 0, 2, 4, 24
"c:\xampp\htdocs\localTheatre\scss\bootstrap\scss\mixins\_badge.scss", "SCSS", 0, 0, 0, 0, 15, 0, 0, 3, 18
"c:\xampp\htdocs\localTheatre\scss\bootstrap\scss\mixins\_border-radius.scss", "SCSS", 0, 0, 0, 0, 63, 0, 3, 11, 77
"c:\xampp\htdocs\localTheatre\scss\bootstrap\scss\mixins\_box-shadow.scss", "SCSS", 0, 0, 0, 0, 17, 0, 2, 2, 21
"c:\xampp\htdocs\localTheatre\scss\bootstrap\scss\mixins\_breakpoints.scss", "SCSS", 0, 0, 0, 0, 69, 0, 44, 11, 124
"c:\xampp\htdocs\localTheatre\scss\bootstrap\scss\mixins\_buttons.scss", "SCSS", 0, 0, 0, 0, 86, 0, 11, 14, 111
"c:\xampp\htdocs\localTheatre\scss\bootstrap\scss\mixins\_caret.scss", "SCSS", 0, 0, 0, 0, 55, 0, 0, 8, 63
"c:\xampp\htdocs\localTheatre\scss\bootstrap\scss\mixins\_clearfix.scss", "SCSS", 0, 0, 0, 0, 7, 0, 0, 1, 8
"c:\xampp\htdocs\localTheatre\scss\bootstrap\scss\mixins\_deprecate.scss", "SCSS", 0, 0, 0, 0, 5, 0, 5, 1, 11
